"done","yield_value","tend_crop_yld","public_land","man_bud_type","land_type","land_type_max_frac","ytb_type"
1,0.2,0.2,0,"fixed","oneRich",0.25,"beta1"
1,0.8,0.2,0,"fixed","oneRich",0.25,"beta1"
1,0.2,0.2,0,"mean","oneRich",0.25,"beta1"
1,0.8,0.2,0,"mean","oneRich",0.25,"beta1"
1,0.2,0.2,0,"max","oneRich",0.25,"beta1"
1,0.8,0.2,0,"max","oneRich",0.25,"beta1"
1,0.2,0.2,0,"fixed","oneRich",0.5,"beta1"
1,0.8,0.2,0,"fixed","oneRich",0.5,"beta1"
1,0.2,0.2,0,"mean","oneRich",0.5,"beta1"
1,0.8,0.2,0,"mean","oneRich",0.5,"beta1"
1,0.2,0.2,0,"max","oneRich",0.5,"beta1"
1,0.8,0.2,0,"max","oneRich",0.5,"beta1"
1,0.2,0.2,0,"fixed","oneRich",0.75,"beta1"
1,0.8,0.2,0,"fixed","oneRich",0.75,"beta1"
1,0.2,0.2,0,"mean","oneRich",0.75,"beta1"
1,0.8,0.2,0,"mean","oneRich",0.75,"beta1"
0,0.2,0.2,0,"max","oneRich",0.75,"beta1"
0,0.8,0.2,0,"max","oneRich",0.75,"beta1"
0,0.2,0.2,0,"fixed","equal",NA,"beta1"
0,0.8,0.2,0,"fixed","equal",NA,"beta1"
0,0.2,0.2,0,"mean","equal",NA,"beta1"
0,0.8,0.2,0,"mean","equal",NA,"beta1"
0,0.2,0.2,0,"max","equal",NA,"beta1"
0,0.8,0.2,0,"max","equal",NA,"beta1"
